"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_competent","model_pushyr","model_genuine","model_professional","model_credible","model_fake","model_follower","model_sincere","model_moral","model_assertive","model_charm","model_suspicious","model_peaceful","model_calm","model_subordinate","model_knowledgeable","model_sociable","model_trustworthy","model_honest","model_friendly","model_reliable","model_manipulative","model_experienced","model_respectful","model_phony","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark"
"13",2,26,"English","Bilingual since birth",1,7,1,5,1,2,0,0,1,1,1,3,4,4,3,5,5,5,4,2,5,3,"350",5,3,5,4,4,5,3,4,4,6,6,3,4,5,3,5,5,5,5,5,5,3,4,5,4,6,6,2,5,5,6,5,5,5,4,5,3,6,2,3,2,3,3,3,3,7,2,3,6,3,"An ad for patio furniture, with a confident-looking man who has potentially picked out this furniture. I thought the text in the ad was awkward. The description of the furniture was adequate, but the sentence was clumsy. The quote of it being the right choice because it's his choice is odd -- I don't understand what it's supposed to convey. ",4,5,5,3,5,5,4,3,7,7,0,0,0,0,0,1
"14",2,39,"english","n/a",1,4,4,2,0,2,0,0,1,1,5,4,3,2,2,2,3,3,3,3,5,2,"249",4,3,4,1,2,5,5,4,4,4,3,4,4,6,5,4,3,4,4,5,4,4,4,4,5,2,3,5,2,1,2,2,4,2,2,4,1,4,2,3,2,2,2,3,3,4,2,4,5,4,"woman standing in the foreground, wearing a red/black plaid shirt and black sunglasses. she has straight brown hair. her arms are crossed over and she's smiling. in the background in a wicker patio set. a chair and a 2 seater. grey/silver in colour. there's also a coffee type table with a white tea set. underneath is lettering or wording describing the product and there's a larger catch phrase above the image in larger letters. there's a quote to the right of the lady standing, do not recall the wording though. my thoughts are - i like the furniture but for  the life of me, the woman in the ad is completley out of place. i don't understand why she's there, or the point of having her there. wearing sunglasses, hiding her face - doesn't fit with trying to sell outdoor furninture",4,4,4,3,3,3,4,4,5,5,0,0,0,1,0,0
"15",2,33,"English","",2,2,2,5,1,1,0,1,0,1,4,3,3,4,4,4,4,3,4,3,5,3,"300",4,4,4,4,4,4,4,4,4,3,3,1,5,7,4,4,5,4,4,5,5,3,4,6,5,3,6,2,4,5,3,7,2,2,1,2,2,2,3,4,1,1,1,2,2,2,1,4,4,4,"The furniture looks stylish and comfortable.  Not a fan of the person in the ad though.",2,4,3,2,3,3,2,2,4,4,0,0,0,0,1,0
"16",2,25,"English","",1,3,3,2,0,0,1,0,0,1,2,4,3,2,2,3,3,3,3,3,5,3,"300",6,2,5,6,6,3,4,5,6,4,6,3,6,5,4,5,5,6,5,6,5,4,5,6,3,4,4,4,2,5,6,4,5,6,5,6,4,6,2,3,2,2,2,2,2,2,2,2,2,4,"Wicker couch set. Girl with glasses and plaid shirt.",2,2,3,2,3,3,3,2,3,3,1,0,0,0,0,0
"17",2,29,"english","",2,1,4,5,1,0,1,0,0,1,1,3,2,1,1,3,3,4,2,2,5,3,"439",6,2,6,5,6,1,4,5,5,5,4,1,5,5,4,5,5,5,5,5,5,1,4,5,1,4,4,1,4,6,7,5,4,5,3,4,5,5,3,3,3,2,2,3,3,4,3,3,4,4,"this ad is about stylish couch set which is all weather with plain pillows and seating.it is durable. this ad is pretty good.",3,3,3,3,3,3,2,3,3,3,0,1,0,0,0,0
"18",2,57,"English","",2,4,1,4,1,1,0,1,0,2,3,5,4,3,3,4,4,3,4,2,5,2,"650",4,6,3,2,3,4,6,4,4,7,2,4,2,5,1,4,5,4,5,5,4,5,4,2,4,4,6,2,4,5,5,7,4,2,3,2,2,3,2,2,2,3,3,2,2,3,1,3,3,2,"I saw a man in a plaid shirt standing in the foreground of the picture. He was smiling and had his arms folded. He detracted from the ad itself as it was as if the ad was about him and not the furniture that was being advertised. The ad was actually for wicker furniture. The furniture advert was for comfortable wicker furniture with deep seat and durable cushions good for entertaining. Although the ad was for furniture the furniture was not the focal point of the ad.",5,4,2,2,4,5,4,3,7,4,0,0,0,0,1,0
"19",2,56,"english","",1,1,4,2,0,1,0,1,0,1,4,3,2,2,1,2,1,1,1,1,7,1,"400",7,1,7,7,7,1,2,7,7,5,6,1,6,7,3,7,7,7,7,7,7,1,6,7,1,6,7,1,2,6,7,7,6,6,6,6,5,6,1,1,1,1,1,1,1,1,1,1,1,2,"the ad was about a wicker patio set that is very comfortable.it came with a couch and chair with cushions.its the ladies only chose",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"20",1,51,"English","",2,1,4,5,0,0,1,0,0,1,2,1,1,1,1,2,2,1,2,2,7,2,"900",6,3,6,6,6,3,5,6,6,6,7,6,7,6,5,7,7,7,7,7,7,3,7,7,5,6,5,3,7,7,4,7,7,7,7,7,7,7,3,2,2,3,2,2,2,3,2,2,2,2,"Stylish furniture.Doesn't show the brand.Just was described how is good to have stylish furniture.",3,3,3,2,1,3,2,2,2,2,1,0,0,0,0,0
"21",2,56,"English","",1,2,2,6,1,2,0,0,1,1,3,3,4,3,3,3,4,4,4,4,4,4,"1200",4,4,3,4,4,5,4,4,4,5,5,4,4,6,4,4,5,4,4,5,4,4,4,4,5,3,4,5,1,4,3,4,5,4,4,4,2,5,3,3,3,3,3,3,3,4,3,3,4,3,"I saw an ad for wicker furniture. It showed a wicker furniture set on a wooden deck backed with a railing of white pickets. There was a tea set on the table. There was a smiling male in a red/black check shirt with arms folded at the right side. The heading indicated that the items were stylish. Further information described that this furniture is comfortable and good to entertain with. There was a quote above the male indicating that furniture is his choice. Visually the ad showed the furniture clearly. I had to read the description below the furniture twice to get it. The information did not read smoothly. The ad was okay, but not particularly exciting or memorable.",3,3,3,3,3,4,3,3,4,4,0,0,0,0,0,1
"22",2,54,"french","45 years",1,2,2,4,0,2,0,0,1,2,1,4,3,3,3,2,2,2,2,3,6,2,"800",6,2,7,4,6,2,4,6,6,6,6,1,6,7,4,6,6,6,6,7,6,1,4,6,1,6,6,1,2,7,7,6,5,2,4,5,3,6,2,1,1,2,2,1,1,1,2,1,2,2,"The ad is about a stylish patio set. It is stylish and yet looks very comfortable and is suitable for relaxing and enjoying the outdoor in a laid back environment.",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
"23",1,20,"English","",2,1,3,2,0,1,0,1,0,1,4,3,4,1,1,3,2,1,3,3,5,3,"1000",4,1,6,6,4,1,4,4,4,4,6,1,7,7,6,5,4,4,5,7,5,1,4,7,1,3,7,1,1,4,4,7,5,4,5,5,4,6,2,2,3,3,2,1,3,1,1,2,4,4,"I saw a good ad about an outdoor seating set. I think its kinda weird that the person in the ad is wearing sunglasses but thats just my opinion",3,3,2,2,1,3,1,2,2,4,0,0,1,0,0,0
"24",2,23,"English","",2,6,1,3,1,2,0,0,1,1,3,5,1,1,1,3,2,4,4,3,2,6,"150",6,6,1,7,1,7,1,4,6,6,7,4,7,7,5,5,2,7,5,6,6,2,7,5,3,3,4,3,1,5,5,4,2,1,1,6,5,3,3,5,4,1,3,5,5,2,2,7,5,4,"The ad seems a bit stupid, the colors puts me off, but it gives quite good information about how to be okay",5,2,6,3,7,4,4,2,6,5,0,0,0,0,0,1
"25",1,25,"english","",1,2,2,3,1,0,1,0,0,1,2,3,1,3,2,2,1,1,3,3,5,2,"110",4,2,1,1,4,4,2,1,7,7,7,6,1,3,4,6,6,7,1,7,2,2,6,4,4,5,2,6,5,2,5,6,5,7,4,6,6,6,3,6,6,1,4,4,1,4,1,4,7,5,"furniture that looks okay and a guy trying to sell it, the ad tells a lot of nice things about the object",2,6,2,2,1,7,3,4,3,3,0,1,0,0,0,0
"26",1,44,"french","all my life",2,1,5,5,0,0,1,0,0,1,1,2,4,5,3,3,5,3,3,3,6,2,"875",2,3,2,4,1,6,5,4,4,4,4,5,4,7,4,1,6,4,6,7,5,2,1,7,7,2,4,4,1,2,1,4,7,3,5,7,1,2,3,3,3,3,2,2,2,2,1,1,6,3,"First thing we see is the girl. Although she is beautiful, I feel that she doesn`t fit in this furniter add. The furniture is beautiful. Beige and is fitted to go outside. In general the add is good, but the girl doesn`t fit in this add. ",4,4,6,4,5,5,5,5,4,4,1,0,0,0,0,0
"27",1,33,"English","all my live",2,1,5,5,0,0,1,0,0,1,1,3,2,2,1,2,2,1,1,2,7,2,"15",7,2,6,6,5,1,6,6,7,5,6,6,6,7,6,7,7,6,6,6,7,7,7,6,6,7,6,1,5,6,6,7,6,6,7,6,6,5,2,1,2,1,1,2,3,2,1,1,2,2,"I like the announcement, new ways and techniques for styling. Is attractive and attracts attention.",1,2,1,1,1,2,2,2,2,1,1,0,0,0,0,0
"28",1,20,"ENGLISH","",2,6,1,3,0,1,0,1,0,1,2,2,2,1,1,3,3,1,3,4,4,3,"230",5,1,7,2,6,3,7,7,2,1,6,7,4,7,7,1,3,3,6,6,6,4,1,5,4,4,1,7,6,4,1,4,5,3,4,2,5,5,2,2,1,6,5,1,6,4,1,2,6,5,"a woman with glasses smiling, making assumptions about furniture",2,1,6,2,6,2,2,2,2,2,0,0,1,0,0,0
"29",1,24,"ENGLISH","",2,6,1,3,1,1,0,1,0,1,2,3,2,1,2,2,2,4,1,3,6,4,"170",4,6,1,3,1,7,6,6,1,2,1,4,4,4,4,7,6,4,1,1,6,7,6,3,3,6,4,2,7,7,2,4,4,6,4,7,6,6,5,3,1,2,2,6,4,2,7,2,1,4,"I saw an ad about stylish options, furniture for the outside",3,1,1,6,5,2,1,1,5,4,0,0,0,0,1,0
"30",2,32,"english","",2,1,4,6,0,2,0,0,1,2,3,4,3,2,4,3,2,3,3,3,5,5,"700",7,1,5,5,6,2,4,4,5,5,6,5,6,6,5,6,4,5,6,4,6,5,4,5,2,5,4,2,4,3,5,6,6,5,4,5,4,3,1,2,1,2,2,1,1,2,1,1,2,1,"I find the advertisement interesting, has good design and captivates customers / ",1,2,1,1,2,2,1,4,3,2,0,0,0,1,0,0
"31",2,47,"English","",1,2,2,3,0,0,1,0,0,1,3,3,3,2,2,2,2,2,2,2,6,2,"400",7,2,6,4,5,3,4,4,4,5,5,2,3,7,2,6,7,4,4,7,4,2,5,7,2,5,5,3,4,7,6,6,6,6,4,4,4,6,1,2,1,2,2,2,2,3,1,1,3,4,"A woman in a plaid shirt standing in front of a set of patio furniture, grey in colour.  The products were tastefully placed, the information was simple, and the ad wasn't cluttered or 'loud'",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"32",1,62,"english","all my life",1,5,3,5,0,1,0,1,0,2,1,3,4,3,3,4,4,3,4,2,6,2,"55",5,3,5,5,5,2,4,5,5,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,6,6,6,6,6,6,3,4,3,3,3,3,3,3,3,4,3,4,"A set a outside all weather furniture with a young lady in the picture who approve of the furniture...",2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0
"33",2,48,"english","",1,4,5,3,1,1,0,1,0,2,1,3,3,2,2,4,4,4,4,4,4,3,"499",6,2,6,6,5,3,3,6,4,6,6,1,7,7,4,6,6,4,5,6,4,4,5,6,2,4,2,1,4,6,7,6,5,4,4,5,4,5,2,1,2,1,1,1,1,1,2,1,3,1,"it's and advert for outdoor deck furniture, the ad says its very comfortable and stylish and durable, looks like it's a nice set would be interested in looking at in closer if it was available where I shop, the only thing that I would be worried about would be the price it looks like it would be kind of pricey.",1,1,1,1,1,2,2,2,2,2,0,0,0,0,1,0
"34",1,26,"English","",2,6,1,3,0,2,0,0,1,1,4,3,3,1,1,4,4,1,5,2,6,2,"95",7,1,2,3,6,2,5,6,4,1,7,1,2,5,6,5,1,2,6,1,1,1,3,7,2,3,6,1,4,4,4,1,5,3,3,7,5,6,4,1,2,1,7,5,1,7,7,6,4,3,"a woman and some furniture in the back, the woman appears to be telling a story about the product",4,1,1,5,5,4,1,3,6,5,0,0,0,1,0,0
"35",2,29,"English","",1,7,5,2,0,1,0,1,0,1,5,5,5,3,3,4,5,4,4,3,4,5,"1000",4,3,5,4,5,6,4,5,5,4,4,5,5,4,4,4,3,3,4,3,4,4,4,4,6,3,3,4,4,3,3,4,5,4,3,4,3,2,3,4,3,2,2,4,3,5,3,4,5,4,"The furniture looks nice, and I like the shirt the woman is wearing, but for some reason I found the sunglasses extremely distracting, and out of place.  I also did not like the ""quote"" above the woman.",3,3,4,3,4,3,2,2,4,4,0,0,1,0,0,0
"36",1,23,"Spanish","8 years",2,3,1,2,1,2,0,0,1,1,2,2,3,1,2,5,5,3,1,4,5,3,"120",7,7,7,6,3,1,3,2,2,5,7,6,6,4,2,6,3,6,5,4,4,3,4,7,4,4,2,2,1,5,5,5,4,7,3,4,6,6,1,2,7,6,4,3,6,6,1,1,7,4,"A guy with good looking glasses and a smile, a white shirt and red jacket",4,2,1,1,2,6,3,4,2,4,0,0,0,0,0,1
"37",1,60,"english","",2,1,3,1,1,0,1,0,0,2,1,1,4,2,3,4,4,4,4,3,5,3,"200",5,3,5,5,5,3,4,5,5,4,5,3,6,6,4,4,5,5,5,5,5,3,5,6,3,6,5,3,5,5,6,6,4,4,3,3,3,5,3,3,3,3,3,3,3,4,2,3,4,5,"wicker sofa , it was right to the point and i didn't need to waste any time",3,3,3,3,3,2,3,2,2,2,0,1,0,0,0,0
"38",2,33,"English","",1,1,3,5,0,2,0,0,1,1,5,1,4,5,4,3,4,2,4,4,1,5,"250",4,4,3,2,4,5,4,3,4,5,4,4,5,5,3,4,4,4,4,5,5,4,3,6,4,3,4,2,5,5,3,6,6,4,3,6,1,3,4,5,4,4,3,3,3,6,3,6,7,6,"It's an advertisement for a wicker chair set.  It says it's the right choice because it's my choice and there is a hipster woman standing there with her arms crossed and glasses.  ",3,3,6,3,3,4,3,1,6,4,0,0,0,1,0,0
"39",1,40,"english","40",2,1,5,4,0,1,0,1,0,2,1,2,4,4,4,4,4,4,4,4,6,2,"999",6,2,6,6,6,4,4,6,6,6,6,3,6,6,4,6,6,6,6,6,6,3,6,6,3,6,6,4,6,6,6,6,5,5,5,6,5,5,2,2,2,2,3,2,2,2,2,2,2,3,"it looked like any other furniture ad. I saw a lady and some furniture. It was okay.",2,2,3,2,2,2,2,2,2,2,0,0,1,0,0,0
"40",2,37,"English","37 years",2,2,2,3,0,0,1,0,0,1,2,2,4,3,3,3,4,3,3,3,5,3,"250",4,3,5,4,4,5,4,5,5,4,4,3,5,5,4,4,5,4,5,6,4,3,4,4,4,5,4,3,3,6,5,5,5,4,4,5,4,5,3,3,3,4,2,3,4,5,3,4,5,4,"I saw a wicker outdoor patio set. There was a picture of a woman wearing a plaid shirt saying this set is the right option to buy. It was a pretty basic ad with no mention of the price of the furniture set or what store this ad is for.",4,5,5,3,4,5,4,3,5,4,1,0,0,0,0,0
"41",2,38,"english","",2,1,4,5,1,1,0,1,0,1,4,4,2,2,1,1,1,2,2,1,6,2,"125",5,3,5,6,6,1,5,2,6,4,4,4,5,6,5,6,6,6,7,6,4,6,5,5,5,5,6,3,4,5,2,5,5,6,6,5,5,6,2,2,1,1,2,2,2,2,1,3,2,4,"A guy in front of a chair, text on the left side. ",2,2,1,2,2,2,1,1,2,2,0,0,0,0,1,0
"42",2,32,"french","20 years",1,1,3,5,1,2,0,0,1,1,5,5,4,5,5,4,5,5,5,4,2,6,"200",2,6,3,3,1,6,6,2,4,3,1,6,4,4,4,2,3,2,2,2,2,6,2,2,6,1,3,4,2,2,2,3,1,1,1,1,1,1,4,4,4,3,3,3,3,6,4,4,6,5,"a man in front that i have no idea why he is there. sunglasses that cover his eyes. a set of patio furniture in wicker with dark grey cushions. the man was irritating and did not ad to the advertisement. otherwise a cute set of chairs",6,6,6,6,6,6,6,3,7,7,0,0,0,0,0,1
"43",1,30,"english","",2,6,3,1,0,1,0,1,0,1,5,5,5,5,5,5,4,4,4,4,1,7,"600",1,3,1,1,1,7,7,4,3,2,2,6,4,4,5,3,4,4,2,3,4,5,1,4,7,1,3,2,2,1,1,1,2,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,3,"Was not impressed by the add. The girl looked out of place and not natural, the saying above her head just didn't set to mood for the ad. ",7,7,7,4,7,7,7,4,7,7,0,0,1,0,0,0
"44",2,40,"ENGLISH","",1,4,4,2,0,2,0,0,1,1,3,2,3,2,1,2,2,2,2,2,6,2,"550",7,3,7,6,7,1,2,6,6,6,6,2,7,7,6,6,7,7,6,7,7,1,6,6,6,7,4,5,4,7,6,5,6,7,5,6,7,6,1,1,1,1,1,2,1,1,1,2,2,3,"i SAW NICE WICKER SEATING WITH NICE CUSHIONS AND A LADY WEARING SUN GLASSES. IT LOOK GREAT .",1,1,1,2,1,2,1,1,1,1,0,0,0,1,0,0
"45",2,45,"English","",2,1,6,4,1,2,0,0,1,1,4,4,2,1,2,2,2,2,2,2,7,1,"500",7,1,7,5,6,1,3,6,7,4,7,1,6,6,4,6,6,7,7,7,7,1,6,7,1,6,6,2,6,7,7,6,7,6,4,5,4,7,1,1,2,2,1,2,2,2,1,2,1,2,"A man with sunglasses on, standing with his arms folded in front of a 4 piece wicker set",1,1,2,1,1,2,2,2,3,2,0,0,0,0,0,1
"46",1,47,"English","",1,1,6,4,1,0,1,0,0,1,2,4,4,4,2,3,2,4,3,4,6,4,"595",5,7,3,3,3,6,3,3,4,7,1,5,3,3,2,5,3,3,4,3,4,6,3,3,5,3,6,3,1,3,3,5,2,2,1,1,1,1,1,2,1,2,1,1,1,3,1,1,4,2,"A man with arms crossed says ""It is my choice because it is the right chose"".  This is a bit confusing or awkward.  The ad is about outdoor patio furniture that is comfortable and of high quality.",3,3,3,2,2,2,2,3,3,3,0,1,0,0,0,0
"47",2,38,"English","",1,1,4,5,0,1,0,1,0,1,5,5,4,3,3,3,4,4,3,2,5,4,"600",5,3,5,3,4,4,3,4,5,5,4,1,6,6,5,5,6,4,5,5,4,3,4,5,4,6,5,3,5,5,4,5,5,3,4,4,3,5,2,3,3,3,3,3,3,4,1,3,5,4,"Ad for wicker patio furniture featuring a young woman wearing a plaid shirt and sunglasses.",5,4,4,4,4,3,3,3,4,4,0,0,1,0,0,0
"48",1,21,"English","",1,6,1,3,1,1,0,1,0,1,4,3,4,4,4,4,5,3,4,3,1,6,"250",4,4,3,4,3,6,5,3,4,3,3,4,6,6,6,4,4,5,4,5,3,3,3,5,5,2,4,4,3,4,2,4,2,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,1,4,"There is a man with transition lens sunglasses standing in front of an image of wicker chairs. He says that it is ""[his] choice, because it is the right choice"" of chairs. ",6,4,7,3,5,4,4,4,6,5,0,0,0,0,1,0
"49",2,30,"english","",2,2,3,5,1,1,0,1,0,1,2,3,2,1,1,2,1,2,2,2,5,3,"180",6,1,5,4,6,2,3,6,6,4,5,2,7,7,4,5,5,6,7,6,6,3,5,7,1,5,7,1,5,5,7,7,5,5,4,3,4,5,1,2,2,2,4,2,2,3,2,3,3,3,"it is an ad for out door furniture with a man showing an outdoor sofa with cushions telling that it is a right choice what you like",2,3,3,2,3,3,3,2,3,4,0,0,0,0,1,0
"50",2,52,"English","",2,1,4,2,0,2,0,0,1,2,1,5,3,2,2,3,3,3,3,3,7,1,"1600",7,1,7,4,7,1,2,7,7,5,7,1,7,7,4,7,7,7,7,7,7,1,4,7,1,4,1,1,1,7,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,"It's an ad for outdoor furniture.  It shows a woman and quotes her as saying that this is her choice because it's the right choice.",2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0
"51",2,24,"english","",1,1,3,5,0,1,0,1,0,1,2,2,2,2,2,2,1,1,3,3,6,2,"500",6,4,5,5,4,2,5,5,4,5,5,2,5,4,5,6,6,6,7,6,6,6,5,6,2,6,6,5,3,5,4,5,5,5,6,5,6,5,3,4,2,3,3,4,3,3,4,3,3,4,"A woman is advertising a set of patio furniture with some of the details ",3,3,4,2,2,3,2,3,3,3,0,0,1,0,0,0
